goldilocks-quadratic sha256 log_n=28 threads=1: exact parameters PASS; estimated bytes coefficients=2147483648 matrix=4294967296 trees=67108128 scratch=4423554560 peak_with_overhead=13699946472; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=28 threads=2: exact parameters PASS; estimated bytes coefficients=2147483648 matrix=4294967296 trees=67108128 scratch=4425651712 peak_with_overhead=13702567912; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=28 threads=4: exact parameters PASS; estimated bytes coefficients=2147483648 matrix=4294967296 trees=67108128 scratch=4429846016 peak_with_overhead=13707810792; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=28 threads=8: exact parameters PASS; estimated bytes coefficients=2147483648 matrix=4294967296 trees=67108128 scratch=4438234624 peak_with_overhead=13718296552; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=28 threads=16: exact parameters PASS; estimated bytes coefficients=2147483648 matrix=4294967296 trees=67108128 scratch=4455011840 peak_with_overhead=13739268072; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=29 threads=1: exact parameters PASS; estimated bytes coefficients=4294967296 matrix=8589934592 trees=134216960 scratch=8793338624 peak_with_overhead=27299126272; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=29 threads=2: exact parameters PASS; estimated bytes coefficients=4294967296 matrix=8589934592 trees=134216960 scratch=8795435776 peak_with_overhead=27301747712; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=29 threads=4: exact parameters PASS; estimated bytes coefficients=4294967296 matrix=8589934592 trees=134216960 scratch=8799630080 peak_with_overhead=27306990592; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=29 threads=8: exact parameters PASS; estimated bytes coefficients=4294967296 matrix=8589934592 trees=134216960 scratch=8808018688 peak_with_overhead=27317476352; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
goldilocks-quadratic sha256 log_n=29 threads=16: exact parameters PASS; estimated bytes coefficients=4294967296 matrix=8589934592 trees=134216960 scratch=8824795904 peak_with_overhead=27338447872; available_memory_bytes=Some(527705153536) available_cpus=Some(256) repetitions=1 time_limit_seconds=None
